植物中文名,中文学名,拉丁名,果期
豺皮樟,豺皮樟,Litsea rotundifolia Hemsl. var. oblongifolia (Nees) Allen,8-11月
海桐花,海桐,Pittosporum tobira (Thunb.) Ait.,9-10月
木荷,木荷,Schima superba Gardn. et Champ.,10-11月
黄牛木,黄牛木,Cratoxylum cochinchinense (Lour.) Bl.,8-10月
山杜英,山杜英,Elaeocarpus sylvestris (Lour.) Poir.,10-11月
白楸,白楸,Mallotus paniculatus (Lam.) Muell. Arg.,7-9月
海红豆,海红豆,Adenanthera pavonina L.,7-10月
杨梅,杨梅,Myrica rubra (Lour.) S. et Zucc.,6-7月
山黄麻,山黄麻,Trema tomentosa (Roxb.) Hara,7-9月
水同木,水同木,Ficus fistulosa Reinw. ex Bl.,7-10月
变叶榕,变叶榕,Ficus variolosa Lindl. ex Benth.,8-10月
三叉苦,三桠苦,Melicope pteleifolia (Champ. ex Benth.) Hartley,8-11月
鸦胆子,鸦胆子,Brucea javanica (L.) Merr.,7-10月
黄槐决明,黄槐,Senna surattensis (Burm. f.) H. S. Irwin et Barneby,几乎全年
二乔玉兰,二乔玉兰,Yulania × soulangeana (Soul.-Bod.) D. L. Fu,8-9月
木芙蓉,木芙蓉,Hibiscus mutabilis L.,10-11月
菩提榕,菩提树,Ficus religiosa L.,5-6月
千层金,溪畔白千层,Melaleuca bracteata F.Muell.,10-12月
小叶榄仁,小叶榄仁,Terminalia neotaliala Capuron,7-10月
