植物中文名,中文学名,拉丁名,国外分布
宫粉洋紫荆,宫粉羊蹄甲,Bauhinia variegata L.,印度、中南半岛
木麻黄,木麻黄,Casuarina equisetifolia L.,澳大利亚、东南亚、太平洋诸岛
构树,构,Broussonetia papyrifera (L.) L'Hér. ex Vent.,朝鲜、日本、越南、印度、马来西亚
垂叶榕,垂叶榕,Ficus benjamina L.,印度、马来西亚、菲律宾
橡胶榕,印度榕,Ficus elastica Roxb. ex Hornem.,印度、缅甸、马来西亚、印度尼西亚
桑,桑,Morus alba L.,朝鲜、日本、蒙古、中亚各国、俄罗斯
柠檬,柠檬,Citrus limon (L.) Burm. f.,印度、缅甸
柚子,柚,Citrus maxima (Burm.) Merr.,东南亚各国
黄皮,黄皮,Clausena lansium (Lour.) Skeels,越南、印度、马来西亚
九里香,九里香,Murraya exotica L.,印度、斯里兰卡、缅甸、泰国、越南、马来西亚
簕欓花椒,簕欓花椒,Zanthoxylum avicennae (Lam.) DC.,越南
米仔兰,米仔兰,Aglaia odorata Lour.,东南亚各国
苦楝,楝,Melia azedarach L.,朝鲜、日本、印度、东南亚
桂花,木樨,Osmanthus fragrans (Thunb.) Lour.,日本、印度、尼泊尔、柬埔寨
猫尾木,猫尾木,Markhamia stipulata (Wall.) Seem. ex K. Schum.,越南、缅甸、泰国、马来西亚
海南菜豆树,海南菜豆树,Radermachera hainanensis Merr.,越南
红刺露兜,扇叶露兜树,Pandanus utilis Borg.,马达加斯加
粉丹竹,蓉城竹,Phyllostachys bissetii McClure,/
中华无忧树,中国无忧花,Saraca dives Pierre,越南、缅甸
山苍子,山鸡椒,Litsea cubeba (Lour.) Pers.,日本、朝鲜、越南、印度尼西亚
豺皮樟,豺皮樟,Litsea rotundifolia Hemsl. var. oblongifolia (Nees) Allen,越南
海桐花,海桐,Pittosporum tobira (Thunb.) Ait.,日本、朝鲜
木荷,木荷,Schima superba Gardn. et Champ.,越南
黄牛木,黄牛木,Cratoxylum cochinchinense (Lour.) Bl.,越南、泰国、柬埔寨、马来西亚、印度尼西亚
山杜英,山杜英,Elaeocarpus sylvestris (Lour.) Poir.,日本、朝鲜、越南
白楸,白楸,Mallotus paniculatus (Lam.) Muell. Arg.,印度、越南、马来西亚、菲律宾
海红豆,海红豆,Adenanthera pavonina L.,印度、缅甸、越南、马来西亚
杨梅,杨梅,Myrica rubra (Lour.) S. et Zucc.,日本、朝鲜
山黄麻,山黄麻,Trema tomentosa (Roxb.) Hara,印度、越南、泰国、马来西亚、澳大利亚
水同木,水同木,Ficus fistulosa Reinw. ex Bl.,越南、泰国、马来西亚、印度尼西亚
变叶榕,变叶榕,Ficus variolosa Lindl. ex Benth.,越南
三叉苦,三桠苦,Melicope pteleifolia (Champ. ex Benth.) Hartley,越南、老挝、马来西亚
鸦胆子,鸦胆子,Brucea javanica (L.) Merr.,印度、缅甸、泰国、越南、马来西亚
黄槐决明,黄槐,Senna surattensis (Burm. f.) H. S. Irwin et Barneby,印度、斯里兰卡、东南亚
二乔玉兰,二乔玉兰,Yulania × soulangeana (Soul.-Bod.) D. L. Fu,法国（杂交种原产地）
木芙蓉,木芙蓉,Hibiscus mutabilis L.,日本
菩提榕,菩提树,Ficus religiosa L.,印度、斯里兰卡、缅甸、泰国、越南
千层金,溪畔白千层,Melaleuca bracteata F.Muell.,澳大利亚
小叶榄仁,小叶榄仁,Terminalia neotaliala Capuron,马达加斯加
