植物中文名,中文学名,拉丁名,花期
柠檬,柠檬,Citrus limon (L.) Burm. f.,4-5月
柚子,柚,Citrus maxima (Burm.) Merr.,4-5月
黄皮,黄皮,Clausena lansium (Lour.) Skeels,4-5月
九里香,九里香,Murraya exotica L.,4-8月
簕欓花椒,簕欓花椒,Zanthoxylum avicennae (Lam.) DC.,3-4月
米仔兰,米仔兰,Aglaia odorata Lour.,5-12月
苦楝,楝,Melia azedarach L.,4-5月
桂花,木樨,Osmanthus fragrans (Thunb.) Lour.,9-10月
猫尾木,猫尾木,Markhamia stipulata (Wall.) Seem. ex K. Schum.,5-9月
海南菜豆树,海南菜豆树,Radermachera hainanensis Merr.,5-9月
红刺露兜,扇叶露兜树,Pandanus utilis Borg.,6-7月
粉丹竹,蓉城竹,Phyllostachys bissetii McClure,/
中华无忧树,中国无忧花,Saraca dives Pierre,3-5月
山苍子,山鸡椒,Litsea cubeba (Lour.) Pers.,2-3月
豺皮樟,豺皮樟,Litsea rotundifolia Hemsl. var. oblongifolia (Nees) Allen,5-7月
海桐花,海桐,Pittosporum tobira (Thunb.) Ait.,3-5月
木荷,木荷,Schima superba Gardn. et Champ.,6-8月
黄牛木,黄牛木,Cratoxylum cochinchinense (Lour.) Bl.,5-7月
山杜英,山杜英,Elaeocarpus sylvestris (Lour.) Poir.,6-7月
白楸,白楸,Mallotus paniculatus (Lam.) Muell. Arg.,3-5月
海红豆,海红豆,Adenanthera pavonina L.,5-6月
杨梅,杨梅,Myrica rubra (Lour.) S. et Zucc.,3-4月
山黄麻,山黄麻,Trema tomentosa (Roxb.) Hara,5-6月
水同木,水同木,Ficus fistulosa Reinw. ex Bl.,5-7月
变叶榕,变叶榕,Ficus variolosa Lindl. ex Benth.,5-6月
三叉苦,三桠苦,Melicope pteleifolia (Champ. ex Benth.) Hartley,4-6月
鸦胆子,鸦胆子,Brucea javanica (L.) Merr.,4-5月
黄槐决明,黄槐,Senna surattensis (Burm. f.) H. S. Irwin et Barneby,几乎全年
二乔玉兰,二乔玉兰,Yulania × soulangeana (Soul.-Bod.) D. L. Fu,3-4月
木芙蓉,木芙蓉,Hibiscus mutabilis L.,8-10月
菩提榕,菩提树,Ficus religiosa L.,3-4月
千层金,溪畔白千层,Melaleuca bracteata F.Muell.,6-9月
小叶榄仁,小叶榄仁,Terminalia neotaliala Capuron,3-6月
